Log of Bounding Box Areas for Each Frame
--------------------------------------------------
Frame 0, Class: erc_90, Conf: 0.98, Box: (179.23081970214844, 40.03387451171875), (394.72119140625, 337.2655029296875), Area: 64050.55 pixels^2
Frame 0, Class: erc_90, Conf: 0.44, Box: (0.7968292236328125, 413.4573974609375), (84.87374877929688, 479.5115966796875), Area: 5553.63 pixels^2
Frame 1, Class: erc_90, Conf: 0.98, Box: (178.7738800048828, 38.16888427734375), (393.93658447265625, 336.6497802734375), Area: 64221.96 pixels^2
Frame 1, Class: erc_90, Conf: 0.49, Box: (0.73284912109375, 413.739990234375), (85.76390075683594, 479.5269775390625), Area: 5593.94 pixels^2
Frame 2, Class: erc_90, Conf: 0.98, Box: (179.0163116455078, 36.1883544921875), (394.24688720703125, 337.4559326171875), Area: 64842.00 pixels^2
Frame 2, Class: erc_90, Conf: 0.51, Box: (0.7871322631835938, 413.66064453125), (86.210693359375, 479.5020751953125), Area: 5624.41 pixels^2
Frame 3, Class: erc_90, Conf: 0.98, Box: (179.0400848388672, 34.9697265625), (394.84222412109375, 337.494384765625), Area: 65285.47 pixels^2
Frame 4, Class: erc_90, Conf: 0.98, Box: (179.10458374023438, 38.1376953125), (393.6540832519531, 337.39569091796875), Area: 64205.65 pixels^2
Frame 4, Class: erc_90, Conf: 0.36, Box: (0.7148590087890625, 413.30084228515625), (84.71087646484375, 479.6002197265625), Area: 5568.88 pixels^2
Frame 5, Class: erc_90, Conf: 0.98, Box: (178.94964599609375, 38.23541259765625), (395.49114990234375, 337.9779052734375), Area: 64906.69 pixels^2
Frame 5, Class: erc_90, Conf: 0.30, Box: (0.7866592407226562, 413.57965087890625), (84.07223510742188, 479.58380126953125), Area: 5497.19 pixels^2
Frame 6, Class: erc_90, Conf: 0.98, Box: (177.96347045898438, 37.7763671875), (394.8754577636719, 337.636474609375), Area: 65043.25 pixels^2
Frame 7, Class: erc_90, Conf: 0.98, Box: (179.269287109375, 37.412841796875), (394.93463134765625, 337.57244873046875), Area: 64734.02 pixels^2
Frame 7, Class: erc_90, Conf: 0.50, Box: (0.7893295288085938, 414.25128173828125), (85.91737365722656, 479.54034423828125), Area: 5557.93 pixels^2
Frame 8, Class: erc_90, Conf: 0.98, Box: (179.157470703125, 37.473114013671875), (394.70697021484375, 338.61639404296875), Area: 64911.29 pixels^2
Frame 8, Class: erc_90, Conf: 0.29, Box: (0.8264846801757812, 414.324951171875), (85.05757141113281, 479.59027099609375), Area: 5497.37 pixels^2
Frame 9, Class: erc_90, Conf: 0.98, Box: (179.43215942382812, 36.0068359375), (394.4977111816406, 338.91943359375), Area: 65146.07 pixels^2
Frame 9, Class: erc_90, Conf: 0.44, Box: (0.778076171875, 413.316650390625), (85.44979858398438, 479.57464599609375), Area: 5610.18 pixels^2
Frame 10, Class: erc_90, Conf: 0.98, Box: (179.17721557617188, 37.82818603515625), (394.0345764160156, 337.71923828125), Area: 64433.80 pixels^2
Frame 10, Class: erc_90, Conf: 0.53, Box: (0.69134521484375, 413.19097900390625), (85.39639282226562, 479.57000732421875), Area: 5622.64 pixels^2
Frame 11, Class: erc_90, Conf: 0.98, Box: (179.74334716796875, 38.982635498046875), (394.015380859375, 338.284912109375), Area: 64132.11 pixels^2
Frame 11, Class: erc_90, Conf: 0.57, Box: (0.724578857421875, 413.644287109375), (84.96199035644531, 479.5733642578125), Area: 5553.69 pixels^2
Frame 12, Class: erc_90, Conf: 0.98, Box: (177.4634246826172, 38.603240966796875), (393.86944580078125, 339.2452697753906), Area: 65060.75 pixels^2
Frame 12, Class: erc_90, Conf: 0.70, Box: (0.7645339965820312, 412.5577392578125), (83.87016296386719, 479.59844970703125), Area: 5571.46 pixels^2
Frame 13, Class: erc_90, Conf: 0.98, Box: (177.87461853027344, 35.62445068359375), (395.605712890625, 339.12237548828125), Area: 66080.94 pixels^2
Frame 13, Class: erc_90, Conf: 0.60, Box: (0.7193603515625, 412.6383056640625), (84.39390563964844, 479.582275390625), Area: 5601.51 pixels^2
Frame 14, Class: erc_90, Conf: 0.98, Box: (178.4683074951172, 35.645263671875), (395.35528564453125, 338.5579833984375), Area: 65697.83 pixels^2
Frame 14, Class: erc_90, Conf: 0.42, Box: (0.7513580322265625, 412.8671875), (85.63301086425781, 479.5701904296875), Area: 5661.86 pixels^2
Frame 15, Class: erc_90, Conf: 0.98, Box: (177.48663330078125, 38.474853515625), (395.36602783203125, 338.0469665527344), Area: 65270.59 pixels^2
Frame 15, Class: erc_90, Conf: 0.73, Box: (0.7372207641601562, 413.264892578125), (84.42192077636719, 479.58172607421875), Area: 5549.70 pixels^2
Frame 16, Class: erc_90, Conf: 0.98, Box: (178.0657958984375, 37.9429931640625), (394.6634521484375, 337.74444580078125), Area: 64936.29 pixels^2
Frame 16, Class: erc_90, Conf: 0.59, Box: (0.7660446166992188, 413.18896484375), (86.05438995361328, 479.538330078125), Area: 5658.83 pixels^2
Frame 17, Class: erc_90, Conf: 0.98, Box: (179.25839233398438, 37.50701904296875), (395.0586853027344, 338.3448486328125), Area: 64920.89 pixels^2
Frame 17, Class: erc_90, Conf: 0.57, Box: (0.76373291015625, 413.7645263671875), (85.49317169189453, 479.518798828125), Area: 5571.32 pixels^2
Frame 18, Class: erc_90, Conf: 0.98, Box: (179.00537109375, 38.188446044921875), (394.94964599609375, 338.198486328125), Area: 64785.45 pixels^2
Frame 18, Class: erc_90, Conf: 0.32, Box: (0.81201171875, 414.4246826171875), (84.78254699707031, 479.54632568359375), Area: 5468.30 pixels^2
Frame 19, Class: erc_90, Conf: 0.98, Box: (178.87213134765625, 39.110626220703125), (394.567138671875, 338.1209411621094), Area: 64495.03 pixels^2
Frame 19, Class: erc_90, Conf: 0.54, Box: (0.7947998046875, 413.9761962890625), (85.85076904296875, 479.5343017578125), Area: 5576.11 pixels^2
Frame 20, Class: erc_90, Conf: 0.98, Box: (178.49966430664062, 38.841888427734375), (394.6427307128906, 336.572509765625), Area: 64352.41 pixels^2
Frame 20, Class: erc_90, Conf: 0.40, Box: (0.6553573608398438, 414.0272216796875), (85.79994201660156, 479.570068359375), Area: 5580.62 pixels^2
Frame 21, Class: erc_90, Conf: 0.98, Box: (179.4263153076172, 39.021575927734375), (394.31280517578125, 336.6031494140625), Area: 63946.26 pixels^2
Frame 21, Class: erc_90, Conf: 0.63, Box: (0.7150802612304688, 413.43133544921875), (84.61404418945312, 479.5830078125), Area: 5550.06 pixels^2
Frame 22, Class: erc_90, Conf: 0.98, Box: (179.12664794921875, 38.606231689453125), (394.8450927734375, 336.3346862792969), Area: 64225.52 pixels^2
Frame 22, Class: erc_90, Conf: 0.66, Box: (0.7451019287109375, 413.95074462890625), (84.28321838378906, 479.5992431640625), Area: 5484.15 pixels^2
Frame 23, Class: erc_90, Conf: 0.98, Box: (179.14288330078125, 37.693115234375), (393.7601318359375, 338.120361328125), Area: 64476.87 pixels^2
Frame 23, Class: erc_90, Conf: 0.54, Box: (0.72723388671875, 413.6534423828125), (84.43853759765625, 479.61328125), Area: 5521.58 pixels^2
Frame 24, Class: erc_90, Conf: 0.98, Box: (176.5686492919922, 38.340423583984375), (391.80670166015625, 341.0909729003906), Area: 65163.44 pixels^2
Frame 24, Class: erc_90, Conf: 0.59, Box: (0.7364654541015625, 413.12896728515625), (84.80557250976562, 479.54034423828125), Area: 5583.15 pixels^2
Frame 25, Class: erc_90, Conf: 0.98, Box: (175.74679565429688, 39.07965087890625), (392.7503356933594, 340.138916015625), Area: 65330.93 pixels^2
Frame 25, Class: erc_90, Conf: 0.60, Box: (0.7645492553710938, 413.9356689453125), (85.81717681884766, 479.52197265625), Area: 5578.29 pixels^2
Frame 26, Class: erc_90, Conf: 0.98, Box: (176.1526641845703, 38.9744873046875), (394.19512939453125, 337.90521240234375), Area: 65179.59 pixels^2
Frame 26, Class: erc_90, Conf: 0.51, Box: (0.7594833374023438, 414.06591796875), (86.49378204345703, 479.53271484375), Area: 5612.75 pixels^2
Frame 27, Class: erc_90, Conf: 0.98, Box: (176.60617065429688, 36.348388671875), (393.8412780761719, 338.8817138671875), Area: 65720.86 pixels^2
Frame 27, Class: erc_90, Conf: 0.52, Box: (0.812652587890625, 414.1299133300781), (86.08405303955078, 479.5312194824219), Area: 5576.86 pixels^2
Frame 28, Class: erc_90, Conf: 0.98, Box: (178.87713623046875, 38.433502197265625), (393.50421142578125, 337.856689453125), Area: 64264.32 pixels^2
Frame 28, Class: erc_90, Conf: 0.41, Box: (0.83526611328125, 414.254638671875), (85.82870483398438, 479.527587890625), Area: 5547.77 pixels^2
Frame 29, Class: erc_90, Conf: 0.98, Box: (179.4881134033203, 38.9952392578125), (394.45233154296875, 337.8963623046875), Area: 64253.05 pixels^2
Frame 29, Class: erc_90, Conf: 0.51, Box: (0.7929000854492188, 414.225830078125), (85.99368286132812, 479.538818359375), Area: 5564.72 pixels^2
Frame 30, Class: erc_90, Conf: 0.97, Box: (174.75701904296875, 38.528961181640625), (394.8851318359375, 339.0249328613281), Area: 66147.61 pixels^2
