Log of Mask Areas for Each Frame
--------------------------------------------------
Frame 0, Class: erc_90, Conf: 0.98, Mask Area: 46240 pixels^2
Frame 0, Class: erc_90, Conf: 0.44, Mask Area: 4831 pixels^2
Frame 1, Class: erc_90, Conf: 0.98, Mask Area: 46415 pixels^2
Frame 1, Class: erc_90, Conf: 0.49, Mask Area: 4848 pixels^2
Frame 2, Class: erc_90, Conf: 0.98, Mask Area: 46654 pixels^2
Frame 2, Class: erc_90, Conf: 0.51, Mask Area: 4824 pixels^2
Frame 3, Class: erc_90, Conf: 0.98, Mask Area: 46507 pixels^2
Frame 4, Class: erc_90, Conf: 0.98, Mask Area: 46108 pixels^2
Frame 4, Class: erc_90, Conf: 0.36, Mask Area: 4817 pixels^2
Frame 5, Class: erc_90, Conf: 0.98, Mask Area: 46454 pixels^2
Frame 5, Class: erc_90, Conf: 0.30, Mask Area: 4755 pixels^2
Frame 6, Class: erc_90, Conf: 0.98, Mask Area: 46153 pixels^2
Frame 7, Class: erc_90, Conf: 0.98, Mask Area: 46666 pixels^2
Frame 7, Class: erc_90, Conf: 0.50, Mask Area: 4817 pixels^2
Frame 8, Class: erc_90, Conf: 0.98, Mask Area: 46687 pixels^2
Frame 8, Class: erc_90, Conf: 0.29, Mask Area: 4817 pixels^2
Frame 9, Class: erc_90, Conf: 0.98, Mask Area: 47127 pixels^2
Frame 9, Class: erc_90, Conf: 0.44, Mask Area: 4811 pixels^2
Frame 10, Class: erc_90, Conf: 0.98, Mask Area: 46759 pixels^2
Frame 10, Class: erc_90, Conf: 0.53, Mask Area: 4759 pixels^2
Frame 11, Class: erc_90, Conf: 0.98, Mask Area: 46605 pixels^2
Frame 11, Class: erc_90, Conf: 0.57, Mask Area: 4752 pixels^2
Frame 12, Class: erc_90, Conf: 0.98, Mask Area: 46154 pixels^2
Frame 12, Class: erc_90, Conf: 0.70, Mask Area: 4793 pixels^2
Frame 13, Class: erc_90, Conf: 0.98, Mask Area: 46867 pixels^2
Frame 13, Class: erc_90, Conf: 0.60, Mask Area: 4820 pixels^2
Frame 14, Class: erc_90, Conf: 0.98, Mask Area: 46775 pixels^2
Frame 14, Class: erc_90, Conf: 0.42, Mask Area: 4792 pixels^2
